,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
226,アイ・エム・ケー株式会社,吉野英恵,足立区千住橋戸町１番地５３,医療・福祉,-,03-3879-5041,,,35.740193,139.797811
227,株式会社青木工業所,青木竜一,足立区北加平町２０番５号,建設,-,03-3606-3301,6,,35.784064,139.828437
228,株式会社青木製作所,-,足立区花畑２丁目９番１２号,メーカー,-,-,4,,35.801817,139.817021
229,アイ・ティー・シー株式会社,-,足立区千住中居町２９番−４号,-,-,-,,,35.749437,139.79773
230,株式会社相田ゴム,-,足立区佐野１丁目２１番１１号,-,-,-,,,35.787173,139.843499
231,株式会社アートレーザー吉田,-,足立区谷在家３丁目２１番１８号,-,-,-,,,35.788807,139.768057
232,株式会社アーバン警備,-,足立区千住３丁目６番地,-,-,-,34,,35.751635,139.802709
233,株式会社愛和,-,足立区島根３丁目３番３号,サービス,-,-,,,35.779603,139.794499
234,株式会社アンク,逢澤純一郎,足立区栗原３丁目２０番１号,-,http://www.ankh-jet.co.jp/,-,,,35.780269,139.785368
235,株式会社アコード,-,足立区栗原２丁目４番２号,建設,-,-,4,,35.783516,139.789158
236,株式会社アクティブ,-,足立区中央本町４丁目１１番１９号,建設,-,-,,,35.775434,139.808267
237,阿久津食品株式会社,阿久津隆,足立区千住河原町３５番１４号,商社,http://tamago-akutsu.com/,03-3881-7191,7,,35.743103,139.798787
238,茜商事株式会社,-,足立区日ノ出町２５番６号オフイス２１,-,-,-,,,35.753521,139.810519
240,安全警備保障株式会社,-,足立区谷中３丁目７番１２号,サービス,-,-,,,35.779211,139.834924
241,芦川商事株式会社,-,足立区南花畑３丁目１８番８号,小売,-,-,3,,35.792441,139.824996
242,株式会社アズマ,-,足立区保木間３丁目２０番６号,-,-,-,,,35.796447,139.806375
243,アジマ製薬株式会社,矢島誠次,足立区扇１丁目４６番１０号,建設,http://www.ajimaseiyaku.co.jp/kaisyaannnai.htm,-,2,,35.762366,139.774261
244,株式会社安城製作所,-,足立区本木２丁目８番６号,建設,-,03-3849-6877,15,,35.767596,139.785349
245,株式会社アディスミューズ,代表取締役 高橋 拓也,足立区南花畑１丁目１５番１６号,建設,http://www.addismuse.co.jp/,-,114,,35.787716,139.82441
246,株式会社アド・シュール,-,足立区千住東２丁目１番２号,-,-,-,,,35.745471,139.808241
248,株式会社アベ,-,足立区梅島３丁目３２番２５−１１０１号,-,-,-,,,35.775806,139.794888
249,株式会社アヤセ鋼板センター,-,足立区北加平町９番１号,メーカー,-,-,31,,35.784064,139.828437
250,株式会社アロー・エンジニアリング,-,足立区綾瀬３丁目２１番１６号,情報・通信,-,-,8,,35.764004,139.826444
251,株式会社荒井製作所,-,足立区梅田６丁目２１番２０号,商社,-,-,,,35.768341,139.79706
